size,files
943.0,2212
944.0,2742
945.0,943
946.0,2318
947.0,1103
948.0,1835
949.0,3264
950.0,1532
951.0,576
952.0,1047
953.0,995
954.0,1223
955.0,886
956.0,859
957.0,3488
958.0,3125
959.0,2986
960.0,2237
961.0,4936
962.0,1216
963.0,2822
964.0,1749
965.0,1614
966.0,851
967.0,548
968.0,1287
969.0,860
970.0,2209
971.0,1686
972.0,5430
973.0,1534
974.0,1255
975.0,1670
976.0,1650
977.0,933
978.0,1674
979.0,1154
980.0,2022
981.0,1285
982.0,1737
983.0,825
984.0,784
985.0,542
986.0,1343
987.0,686
988.0,900
989.0,720
990.0,1342
991.0,710
992.0,2732
993.0,1360
994.0,731
995.0,549
996.0,756
997.0,533
998.0,338
999.0,5038
1000.0,3110
1001.0,1190
1002.0,3778
1003.0,2133
1004.0,720
1005.0,2248
1006.0,1987
1007.0,1027
1008.0,2894
1009.0,653
1010.0,1385
1011.0,2625
1012.0,926
1013.0,1279
1014.0,2841
1015.0,681
1016.0,7062
1017.0,4678
1018.0,1255
1019.0,1999
1020.0,1957
1021.0,1057
1022.0,839
1023.0,1265
1024.0,933
1025.0,404
1026.0,766
1027.0,1050
1028.0,802
1029.0,731
1030.0,1574
1031.0,3522
1032.0,418
1033.0,2067
1034.0,1563
1035.0,3521
1036.0,241
1037.0,1290
1038.0,374
1039.0,440
1040.0,1497
1041.0,2859
1042.0,2442
1043.0,4119
1044.0,697
1045.0,1952
1046.0,1867
1047.0,797
1048.0,765
1049.0,665
1050.0,2167
1051.0,1925
1052.0,2797
1053.0,2045
1054.0,423
1055.0,2664
1056.0,1071
1057.0,5035
1058.0,3411
1059.0,1577
1060.0,1658
1061.0,1543
1062.0,3422
1063.0,1887
1064.0,737
1065.0,706
1066.0,299
1067.0,1721
1068.0,708
1069.0,791
1070.0,2175
1071.0,1597
1072.0,482
1073.0,1296
1074.0,501
1075.0,492
1076.0,647
1077.0,631
1078.0,786
1079.0,750
1080.0,321
1081.0,1790
1082.0,3532
1083.0,1598
1084.0,3407
1085.0,964
1086.0,931
1087.0,1402
1088.0,1809
1089.0,1019
1090.0,297
1091.0,1041
1092.0,283
1093.0,411
1094.0,1429
1095.0,879
1096.0,1268
1097.0,958
1098.0,482
1099.0,2340
1100.0,518
1101.0,1419
1102.0,719
1103.0,447
1104.0,853
1105.0,1574
1106.0,608
1107.0,451
1108.0,1910
1109.0,1970
1110.0,358
1111.0,378
1112.0,884
1113.0,350
1114.0,631
1115.0,2419
1116.0,334
1117.0,1268
1118.0,947
1119.0,2035
1120.0,2088
1121.0,1632
1122.0,1691
1123.0,4386
1124.0,2026
1125.0,250
1126.0,1241
1127.0,762
1128.0,638
1129.0,598
1130.0,1875
1131.0,1921
1132.0,2548
1133.0,2712
1134.0,663
1135.0,1063
1136.0,1279
1137.0,814
1138.0,1322
1139.0,1198
1140.0,1761
1141.0,307
1142.0,520
1143.0,1177
1144.0,296
1145.0,253
1146.0,887
1147.0,3377
1148.0,1162
1149.0,185
1150.0,2665
1151.0,793
1152.0,1025
1153.0,444
1154.0,1456
1155.0,892
1156.0,443
1157.0,796
1158.0,1999
1159.0,3856
1160.0,1372
1161.0,837
1162.0,2147
1163.0,1224
1164.0,2882
1165.0,609
1166.0,553
1167.0,640
1168.0,583
1169.0,388
1170.0,984
1171.0,2329
1172.0,639
1173.0,827
1174.0,338
1175.0,373
1176.0,2156
1177.0,427
1178.0,1565
1179.0,615
1180.0,480
1181.0,270
1182.0,678
1183.0,248
1184.0,404
1185.0,662
1186.0,130
1187.0,328
1188.0,1529
1189.0,445
1190.0,813
1191.0,742
1192.0,1456
1193.0,562
1194.0,1442
1195.0,145
1196.0,2693
1197.0,2531
1198.0,365
1199.0,1124
1200.0,1100
1201.0,1144
1202.0,146
1203.0,579
1204.0,1601
1205.0,510
1206.0,863
1207.0,341
1208.0,311
1209.0,1907
1210.0,400
1211.0,264
1212.0,2785
1213.0,2057
1214.0,1963
1215.0,638
1216.0,871
1217.0,1539
1218.0,2916
1219.0,961
1220.0,817
1221.0,1505
1222.0,1557
1223.0,599
1224.0,1825
1225.0,529
1226.0,784
1227.0,728
1228.0,442
1229.0,2949
1230.0,4343
1231.0,2056
1232.0,641
1233.0,1695
1234.0,714
1235.0,1605
1236.0,926
1237.0,1005
1238.0,2766
1239.0,1860
1240.0,501
1241.0,1980
1242.0,1493
1243.0,1273
1244.0,444
1245.0,821
1246.0,1238
1247.0,863
1248.0,274
1249.0,44
1250.0,314
1251.0,292
1252.0,744
1253.0,1200
1254.0,516
1255.0,1158
1256.0,530
1257.0,580
1258.0,341
1259.0,824
1260.0,389
1261.0,451
1262.0,788
1263.0,370
1264.0,401
