extension,files,repositories,avg_size,std_size
.br-unconfig,802,401,747.02743142144641,45.031427456970469
.br-remote-glob_remote-glob,802,401,881.03241895261851,74.054077796810887
.br-remote-glob-octopus_remote-glob,802,401,872.0324189526184,83.0593785849641
.br-remote-glob-octopus,802,401,866.0324189526184,89.062947882534885
.br-remote-glob-merge_remote-glob,802,401,877.5324189526184,77.556130509840841
.br-remote-glob-merge,802,401,871.5324189526184,83.5596750667597
.br-remote-glob,802,401,875.03241895261851,80.0576037705488
.br-remote-explicit_remote-explicit,802,401,878.53241895261851,76.555542793898667
.br-remote-explicit-octopus_remote-explicit,802,401,876.03241895261851,79.057013807086861
.br-remote-explicit-octopus,802,401,868.03241895261851,87.0617554372141
.br-remote-explicit-merge_remote-explicit,802,401,881.53241895261851,73.553785573339681
.br-remote-explicit-merge,802,401,873.5324189526184,81.558490282818028
.br-remote-explicit,802,401,870.53241895261851,84.560268581679566
.br-config-glob_config-glob,802,401,881.0324189526184,74.054077796810887
.br-config-glob-octopus_config-glob,802,401,872.03241895261829,83.059378584964051
.br-config-glob-octopus,802,401,866.03241895261851,89.062947882534914
.br-config-glob-merge_config-glob,802,401,877.5324189526184,77.556130509840855
.br-config-glob-merge,802,401,871.53241895261851,83.559675066759709
.br-config-glob,802,401,875.0324189526184,80.0576037705488
.br-config-explicit_config-explicit,802,401,878.5324189526184,76.5555427938987
.br-config-explicit-octopus_config-explicit,802,401,876.03241895261851,79.057013807086861
.br-config-explicit-octopus,802,401,868.0324189526184,87.061755437214089
.br-config-explicit-merge_config-explicit,802,401,881.53241895261851,73.553785573339667
.br-config-explicit-merge,802,401,873.53241895261851,81.558490282818042
.br-config-explicit,802,401,870.5324189526184,84.560268581679566
.br-branches-one_branches-one,802,401,666.5249376558603,100.56899297806865
.br-branches-one-octopus_branches-one,802,401,701.5261845386533,65.546754049669
.br-branches-one-octopus,802,401,695.02618453865341,72.05061726554068
.br-branches-one-merge_branches-one,802,401,708.02618453865318,59.042933342473376
.br-branches-one-merge,802,401,701.5261845386533,65.546754049669019
.br-branches-one,802,401,660.0249376558603,107.07297091322056
.br-branches-default_branches-default,802,401,674.0249376558603,97.066855355203074
.br-branches-default-octopus_branches-default,802,401,746.52743142144629,24.523979869713195
.br-branches-default-octopus,802,401,738.02743142144629,33.027688541176204
.br-branches-default-merge_branches-default,802,401,715.52618453865341,55.540898879523255
.br-branches-default-merge,802,401,707.02618453865318,64.04586810348853
.br-branches-default,802,401,665.5249376558603,105.57205207267241
.br,1802,605,152199.96614872373,2777473.1979368012
.bps,585,58,31132.184615384631,157973.39876254217
.bproto,1122,374,593.3342245989304,421.01280719613703
.bpr,6362,1491,26517.847217855979,276711.92865862959
.bpp,5580,22,868.0729390680998,688.07659675056664
.bpmn2,27271,157,8667.75057753657,10243.348317754062
.bpmn,25511,854,8280.76327858573,14998.364088853312
.bpm,720,137,37717.224999999962,541377.63580722339
.bplist,9811,627,4277.8758536336754,8501.8353292825832
.bpl,6734,320,2073569.8244728257,9664761.6530067064
.bphys,3935,17,612092.31817026739,1988214.9309698811
.bpg,2790,841,128426.33333333339,371431.25013514579
.bpf,5239,1601,3887.8572246611948,158758.89762343792
