repo_name,paths,package_avg,imports_avg
thought-machine/please,9,1.6666666666666667,2.2222222222222223
centic9/poi-benchmark,9,5.4444444444444438,9.7777777777777786
rsiebert/TVHClient,9,6.2222222222222214,10.888888888888888
MrMC/mrmc,9,3.1111111111111112,5.5555555555555554
transcendent-ai-labs/DynaML,9,1.2222222222222223,4.6666666666666661
sksamuel/avro4s,9,2.333333333333333,4.8888888888888893
WohlSoft/PGE-Project,9,5.6666666666666661,10.333333333333332
mesosphere/marathon,9,3.8888888888888893,10.444444444444445
dorkster/flare-engine-next,9,5.4444444444444446,9.88888888888889
rsahlin/graphics-by-opengl,265,4.3018867924528292,8.3811320754717
thm-projects/arsnova-backend,265,6.6,11.267924528301885
sosy-lab/java-smt,265,5.2566037735849056,13.08679245283019
TechReborn/TechReborn,265,9.1283018867924532,12.89056603773585
ymback/NGA-CLIENT-VER-OPEN-SOURCE,265,7.6415094339622636,10.932075471698113
tlaplus/tlaplus,1289,5.0892164468580292,9.7889837083010125
facebook/litho,1289,5.6097750193948785,10.951124903025601
wildfly-swarm/wildfly-swarm,1289,5.471683475562453,8.8417377812257563
apache/accumulo,1801,7.5702387562465345,15.441421432537471
callakrsos/Gargoyle,1801,5.928928373126042,10.702942809550253
orientechnologies/orientdb,4105,6.10280146163216,9.1780755176613873
hazelcast/hazelcast,7177,7.1982722586038683,12.901072871673392
libretro/RetroArch,10,8.6000000000000014,14.0
ICOS-Carbon-Portal/data,10,2.8,6.3000000000000007
zenorogue/hyperrogue,10,5.1,10.700000000000001
2d-inc/Flare-Flutter,10,2.8,2.8
SAP/openui5,10,5.9,16.9
Dushistov/rust_swig,10,3.3,8.6
Wikidata/SQID,10,5.6,15.0
fkzhang/WechatUnrecalled,10,4.7,8.5
TeamMeanMachine/meanlib,10,1.6,2.7
code-helix/slatekit,10,2.3,3.8
apollographql/apollo-android,266,6.13157894736842,14.868421052631575
savoirfairelinux/ring-client-android,266,9.0676691729323284,14.526315789473685
UniversityOfAlberta/GrandForum,11,3.3636363636363638,5.7272727272727275
kmatheussen/radium,11,3.9090909090909092,8.2727272727272734
woq-blended/blended,11,2.7272727272727271,4.8181818181818183
EBIBioSamples/biosamples-v4,523,7.1892925430210326,11.598470363288719
runelite/runelite,1547,5.2605042016806713,10.152553329023917
apache/incubator-asterixdb,5131,6.8179692067822986,11.833365815630494
facebook/buck,6155,8.070349309504472,13.770105605199028
Betalord/BHBot,12,6.166666666666667,9.3333333333333339
eserte/bbbike,12,2.1666666666666665,4.1666666666666661
icescrum/iceScrum-core,12,5.0833333333333339,6.5833333333333339
openfl/lime,12,5.75,10.583333333333334
cytomine/Cytomine-core,12,2.916666666666667,6.0
maueroats/teaching,12,1.6666666666666665,2.0
intel-analytics/analytics-zoo,12,2.25,4.1666666666666661
sql-machine-learning/sqlflow,12,3.1666666666666665,6.5
appium/appium,12,6.1666666666666679,8.5833333333333321
scribejava/scribejava,268,4.1753731343283578,6.7723880597014929
schwabdidier/GazePlay,524,5.7729007633587806,8.65648854961832
playframework/playframework,524,4.4904580152671763,6.7003816793893129
aelassas/Wexflow,13,3.8461538461538463,7.1538461538461524
GoldenCheetah/GoldenCheetah,13,5.5384615384615383,12.076923076923077
htcondor/htcondor,13,1.846153846153846,1.846153846153846
ssadedin/groovy-ngs-utils,13,3.1538461538461537,5.9999999999999991
qt-labs/qbs,13,2.9230769230769234,4.1538461538461542
GerritCodeReview/plugins_reviewers,13,10.307692307692308,16.46153846153846
zhaoshuxue/document,13,5.76923076923077,8.9230769230769234
codarchlab/idai-field-client,13,5.0769230769230766,8.384615384615385
sklintyg/webcert,781,8.4225352112676077,14.327784891165173
ceolter/angular-grid,14,3.4285714285714288,5.2142857142857144
CodeNarc/CodeNarc,14,5.6428571428571423,8.2857142857142847
TamirEvan/mupdf,14,1.6428571428571428,2.5714285714285712
spacecowboy/Feeder,14,5.1428571428571432,7.4285714285714288
YiiGuxing/TranslationPlugin,14,8.2857142857142847,12.142857142857142
OpenHFT/Chronicle-Queue,270,6.2074074074074073,9.81111111111111
MariaDB/mariadb-connector-j,270,4.9814814814814818,5.4185185185185167
googleapis/discovery-artifact-manager,526,4.7338403041825083,9.3250950570342219
CCI-MIT/XCoLab,1294,6.4234930448222594,9.5510046367851658
mars-sim/mars-sim,1294,7.3516228748068,14.819165378670782
jamesagnew/hapi-fhir,2574,8.6557886557886583,15.005050505050507
munhyunsu/Hobby,15,4.6666666666666661,4.7333333333333325
cossacklabs/themis,15,3.2666666666666671,7.6
blockchain/My-Wallet-V3-iOS,15,4.2,6.1333333333333329
legatoproject/legato-af,15,2.6,5.2666666666666675
fossology/fossology,15,3.5333333333333332,7.0666666666666664
Polidea/react-native-ble-plx,15,3.7333333333333334,7.9333333333333327
h2oai/sparkling-water,15,2.4666666666666668,3.5333333333333337
flutter/plugins,271,4.8007380073800743,7.7195571955719533
square/keywhiz,271,8.29520295202952,14.110701107011067
aoindustries/aoserv-client,527,6.4136622390891826,10.979127134724859
jurgendl/jhaws,1039,3.8229066410009613,7.7872954764196356
SpongePowered/SpongeCommon,3087,8.7223841917719529,11.868480725623588
boniatillo-com/PhaserEditor,4111,6.3685234736073983,14.101921673558742
Rothamsted/knetminer,16,7.75,17.125
hedzr/android-file-chooser,16,8.0625,14.625
vufind-org/vufind,16,4.25,8.875
introlab/rtabmap,16,8.875,18.999999999999996
ScorexFoundation/sigmastate-interpreter,16,1.3125,4.125
nuclio/nuclio,16,3.1875,6.75
Southpaw-TACTIC/TACTIC,16,4.5625,4.6875000000000009
vmiklos/vmexam,16,2.625,3.5625
robjwells/adventofcode-solutions,16,2.8125,5.625
sanaehirotaka/logbook-kai,272,6.3970588235294112,13.073529411764708
javaito/HolandaCatalinaFw,272,3.5845588235294112,5.327205882352942
asciidoctor/asciidoctor-intellij-plugin,272,6.702205882352942,11.058823529411766
reflectoring/coderadar,528,5.4602272727272743,7.6534090909090882
raphw/byte-buddy,1040,7.01923076923077,10.836538461538467
spring-projects/spring-boot,4624,6.2698961937716247,10.07331314878892
