repo_name,extension,extensions_num,files,repositories,avg_size,capped_avg_file,std_size,capped_std_file
tensorflow/io,.js,1,6,1,17125.166666666664,17125.166666666664,38636.44026261564,38636.44026261564
tensorflow/io,.py,1,134,1,5674.179104477611,5574.671641791048,17725.578242835083,16638.014116052334
tensorflow/io,.sh,1,22,1,1749.6363636363635,1749.6363636363635,1189.2641000076894,1189.2641000076894
tensorflow/io,.tpl,1,2,1,1367.0,1367.0,1312.3901858822321,1312.3901858822321
tensorflow/lingvo,.cc,1,35,1,8982.314285714288,8982.314285714288,8830.192895672772,8830.192895672772
tensorflow/lingvo,.py,1,290,1,15036.496551724144,15036.496551724144,23985.267753763168,23985.267753763168
tensorflow/lingvo,.sh,1,31,1,1449.1935483870966,1449.1935483870966,843.3593705870525,843.3593705870525
tensorflow/magenta,.cc,1,3,1,7072.333333333334,7072.333333333334,6105.092164196486,6105.092164196486
tensorflow/magenta,.py,1,376,1,9122.646276595748,9122.646276595748,11724.298539808091,11724.298539808091
tensorflow/magenta,.sh,1,14,1,1927.0714285714284,1927.0714285714284,1786.5620385484567,1786.5620385484567
tensorflow/mesh,.py,1,61,1,17260.131147540975,16914.44262295081,29743.681865496186,27550.098749686666
tensorflow/mesh,.sh,1,3,1,504.33333333333326,504.33333333333326,266.01002487375047,266.01002487375047
tensorflow/minigo,.cc,1,74,1,7177.27027027027,7177.27027027027,8327.724666301963,8327.724666301963
tensorflow/minigo,.js,1,23,1,9922.30434782609,9922.30434782609,13601.474119423376,13601.474119423376
tensorflow/minigo,.py,1,95,1,6010.621052631584,6010.621052631584,5448.5738973098,5448.5738973098
tensorflow/minigo,.sh,1,48,1,1594.6458333333335,1594.6458333333335,1271.4570882323605,1271.4570882323605
tensorflow/model-analysis,.js,1,180,1,13184.77222222223,6426.272222222224,86928.59607932324,19538.51782826633
tensorflow/model-analysis,.py,1,198,1,8397.671717171715,8397.671717171715,12579.888349730427,12579.888349730427
tensorflow/models,.c,1,21,1,2756.857142857143,2756.857142857143,6157.914381393382,6157.914381393382
tensorflow/models,.cc,1,121,1,9848.94214876033,9848.94214876033,10780.46598273742,10780.46598273742
tensorflow/models,.java,1,4,1,20351.5,20351.5,30608.587003214197,30608.587003214197
tensorflow/models,.js,1,4,1,5964.0,5964.0,3947.0749507282812,3947.0749507282812
tensorflow/models,.py,1,1852,1,9100.584773218146,9100.584773218146,12065.2244069967,12065.2244069967
tensorflow/models,.sh,1,72,1,2271.0138888888887,2271.0138888888887,1258.1718740271995,1258.1718740271995
tensorflow/ngraph-bridge,.cc,1,77,1,13013.298701298703,12710.610389610389,24806.459029467638,22414.77919761392
tensorflow/ngraph-bridge,.cpp,1,22,1,17089.454545454548,17089.454545454548,21076.03588083434,21076.03588083434
tensorflow/ngraph-bridge,.py,1,108,1,5340.583333333334,5340.583333333334,7396.5408650727795,7396.5408650727795
tensorflow/ngraph-bridge,.sh,1,57,1,1691.0000000000002,1691.0000000000002,2737.5617736017784,2737.5617736017784
tensorflow/ngraph-bridge,.tpl,1,1,1,393.0,393.0,,
tensorflow/privacy,.py,1,68,1,6893.485294117647,6893.485294117647,4954.418999907676,4954.418999907676
tensorflow/privacy,.sh,1,4,1,1734.75,1734.75,541.616946436009,541.616946436009
tensorflow/probability,.py,1,686,1,12523.323615160349,12523.323615160349,11936.793317098201,11936.793317098201
tensorflow/probability,.sh,1,3,1,2669.6666666666665,2669.6666666666665,1870.4433520781463,1870.4433520781463
tensorflow/swift,.sh,1,2,1,1639.0,1639.0,1549.9780643609122,1549.9780643609122
tensorflow/swift,.swift,1,38,1,8326.736842105263,8326.736842105263,10749.930860077371,10749.930860077371
tensorflow/swift-apis,.py,1,2,1,13303.5,13303.5,15769.188327241196,15769.188327241196
tensorflow/swift-apis,.sh,1,1,1,2101.0,2101.0,,
tensorflow/swift-apis,.swift,1,91,1,26803.3846153846,13545.032967032968,145525.48726519576,23982.790185395
tensorflow/tensor2tensor,.cc,1,4,1,3667.75,3667.75,2159.3800614991333,2159.3800614991333
tensorflow/tensor2tensor,.js,1,11,1,7126.909090909091,7126.909090909091,6755.111626828169,6755.111626828169
tensorflow/tensor2tensor,.py,1,440,1,11135.756818181819,10996.22045454545,18092.54443253446,16431.878957580408
tensorflow/tensor2tensor,.sh,1,7,1,1688.1428571428567,1688.1428571428567,2214.6522246597715,2214.6522246597715
tensorflow/tensorboard,.java,1,2,1,16892.5,16892.5,19898.691929370638,19898.691929370638
tensorflow/tensorboard,.js,1,17,1,2973.7647058823527,2973.7647058823527,2956.983355748975,2956.983355748975
tensorflow/tensorboard,.py,1,351,1,8149.829059829058,8149.829059829058,8264.495796865667,8264.495796865667
tensorflow/tensorboard,.sh,1,16,1,2333.8125,2333.8125,1535.08762914912,1535.08762914912
tensorflow/tensorflow,.bat,1,47,1,1090.2553191489362,1090.2553191489362,673.7230261789338,673.7230261789338
tensorflow/tensorflow,.c,1,33,1,3996.757575757575,3996.757575757575,4560.647987336222,4560.647987336222
tensorflow/tensorflow,.cc,1,4825,1,12087.161658031098,11988.79025906735,21064.257037499672,20059.74501470763
tensorflow/tensorflow,.cs,1,2,1,4281.0,4281.0,2306.5823202305187,2306.5823202305187
tensorflow/tensorflow,.go,1,40,1,46179.225,9532.275,260321.0298575133,28822.65495430189
tensorflow/tensorflow,.java,1,155,1,6375.509677419355,6375.509677419355,6347.925191630892,6347.925191630892
tensorflow/tensorflow,.m,1,15,1,3106.0,3106.0,4813.609693952584,4813.609693952584
tensorflow/tensorflow,.pl,1,2,1,3768.0,3768.0,3409.668898881532,3409.668898881532
tensorflow/tensorflow,.py,1,2528,1,14386.39477848103,14256.490901898753,23610.48932644715,22407.36015621821
tensorflow/tensorflow,.sh,1,260,1,2587.4653846153856,2587.4653846153856,3068.206967421876,3068.206967421876
tensorflow/tensorflow,.swift,1,18,1,3489.666666666666,3489.666666666666,3896.049009233962,3896.049009233962
tensorflow/tensorflow,.tpl,1,55,1,4665.727272727271,4665.727272727271,9786.373210205484,9786.373210205484
tensorflow/tfjs,.bat,1,4,1,1276.5,1276.5,1119.4059436445148,1119.4059436445148
tensorflow/tfjs,.cc,1,72,1,3800.666666666667,3800.666666666667,5377.0706617458945,5377.0706617458945
tensorflow/tfjs,.java,1,3,1,1339.3333333333333,1339.3333333333333,922.8035182709987,922.8035182709987
tensorflow/tfjs,.js,1,78,1,7136.025641025641,6054.551282051281,31064.35642464296,21930.25998664292
tensorflow/tfjs,.m,1,3,1,1504.333333333333,1504.333333333333,970.4691305411695,970.4691305411695
