first_repo_name,second_repo_name,joint_commits
carbon-design-system/carbon-components,carbon-design-system/carbon-components-react,276
tboox/xmake,waruqi/xmake,276
waruqi/xmake,tboox/xmake,276
carbon-design-system/carbon-components-react,carbon-design-system/carbon-components,276
CalderaWP/Caldera-Forms,Desertsnowman/Caldera-Forms,532
Desertsnowman/Caldera-Forms,CalderaWP/Caldera-Forms,532
InsightSoftwareConsortium/ITK,richardbeare/ITK,1300
richardbeare/ITK,InsightSoftwareConsortium/ITK,1300
zixia/wechaty,Chatie/wechaty,278
wechaty/wechaty,zixia/wechaty,278
zixia/wechaty,wechaty/wechaty,278
Chatie/wechaty,zixia/wechaty,278
muennich/mupdf,TamirEvan/mupdf,534
TamirEvan/mupdf,muennich/mupdf,534
muennich/mupdf,ArtifexSoftware/mupdf,534
ArtifexSoftware/mupdf,muennich/mupdf,534
anlaneg/dpdk,DPDK/dpdk,3862
napatech/dpdk,anlaneg/dpdk,3862
anlaneg/dpdk,ferruhy/dpdk,3862
DPDK/dpdk,anlaneg/dpdk,3862
anlaneg/dpdk,napatech/dpdk,3862
ferruhy/dpdk,anlaneg/dpdk,3862
GoogleChromeLabs/perception-toolkit,PolymerLabs/perception-toolkit,279
PolymerLabs/perception-toolkit,GoogleChromeLabs/perception-toolkit,279
psi4/DatenQM,psi4/mongo_qcdb,535
mesosphere-mergebot/mergebot-test-dcos,dcos/dcos,535
psi4/mongo_qcdb,psi4/DatenQM,535
dcos/dcos,mesosphere-mergebot/mergebot-test-dcos,535
domob1812/namecore,bitcoin/bitcoin,3351
bitcoin/bitcoin,domob1812/namecore,3351
goreleaser/goreleaser,goreleaser/releaser,280
goreleaser/releaser,goreleaser/goreleaser,280
lfam/guix,guix-mirror/guix,1817
lfam/guix,Millak/guix,1817
guix-mirror/guix,lfam/guix,1817
Millak/guix,lfam/guix,1817
jobisoft/TZPUSH1,jobisoft/TbSync,539
jobisoft/TbSync,jobisoft/TZPUSH1,539
jaegertracing/jaeger,uber/jaeger,284
uber/jaeger,jaegertracing/jaeger,284
gvlproject/cloudbridge,gvlproject/libcloudbridge,285
input-output-hk/cardano-sl,input-output-hk/pos-haskell-prototype,285
stahta01/codeblocks_svn2git_https_metadata,stahta01/codeblocks_svn2git_metadata,285
stahta01/codeblocks_svn2git_metadata,stahta01/codeblocks_svn2git_https_metadata,285
gvlproject/libcloudbridge,gvlproject/cloudbridge,285
input-output-hk/pos-haskell-prototype,input-output-hk/cardano-sl,285
ArduPilot/MissionPlanner,diydrones/MissionPlanner,541
diydrones/MissionPlanner,ArduPilot/MissionPlanner,541
micropython/micropython,pfalcon/micropython,542
hyperfiddle/hypercrud.browser,hypercrud/hypercrud-client,542
pfalcon/micropython,micropython/micropython,542
hypercrud/hypercrud-client,hyperfiddle/hypercrud.browser,542
apurtell/hadoop,apache/hadoop,1054
apache/hadoop,apurtell/hadoop,1054
MarlinFirmware/Marlin,KangDroid/Marlin,1310
KangDroid/Marlin,MarlinFirmware/Marlin,1310
balloob/home-assistant,home-assistant/home-assistant,2078
home-assistant/home-assistant,balloob/home-assistant,2078
stinsonga/emacs-mirror,kfowler/emacs,4638
kfowler/emacs,stinsonga/emacs-mirror,4638
ocaml/merlin,the-lambda-church/merlin,287
the-lambda-church/merlin,ocaml/merlin,287
zimmerman-zimmerman/OIPA,openaid-IATI/OIPA,1311
openaid-IATI/OIPA,zimmerman-zimmerman/OIPA,1311
sigrokproject/libsigrok,StefanBruens/libsigrok,290
StefanBruens/libsigrok,sigrokproject/libsigrok,290
gae-init/gae-init-babel,lipis/github-stats,291
GoogleWebComponents/model-viewer,PolymerLabs/model-viewer,291
gae-init/gae-init-babel,gae-init/gae-init,291
gae-init/gae-init,gae-init/gae-init-babel,291
lipis/github-stats,gae-init/gae-init-babel,291
PolymerLabs/model-viewer,GoogleWebComponents/model-viewer,291
urbit/arvo,urbit/urbit,803
urbit/urbit,urbit/arvo,803
vpp-dev/vpp,chrisy/vpp,1827
vpp-dev/vpp,FDio/vpp,1827
FDio/vpp,vpp-dev/vpp,1827
chrisy/vpp,vpp-dev/vpp,1827
ESFramework/ESFramework,ElfSundae/ESFramework,804
ElfSundae/ESFramework,ESFramework/ESFramework,804
Codeception/base,Codeception/Codeception,293
Codeception/Codeception,Codeception/base,293
OAButton/oab_static,OAButton/website,805
OAButton/website,OAButton/oab_static,805
dry-rb/dry-validation,dryrb/dry-validation,294
dryrb/dry-validation,dry-rb/dry-validation,294
wechaty/wechaty,Chatie/wechaty,295
Chatie/wechaty,wechaty/wechaty,295
aksnzhy/xLearn,PKU-Cloud-Lab/xLearn,295
PKU-Cloud-Lab/xLearn,aksnzhy/xLearn,295
mistercrunch/airflow,apache/airflow,551
apache/airflow,mistercrunch/airflow,551
devtools-html/perf.html,mstange/cleopatra,807
mstange/cleopatra,devtools-html/perf.html,807
colinodell/commonmark,thephpleague/commonmark,296
BuckleTypes/bs-react-native,reasonml-community/bs-react-native,296
thephpleague/commonmark,colinodell/commonmark,296
reasonml-community/bs-react-native,BuckleTypes/bs-react-native,296
lsaffre/lino_book,lino-framework/book,552
lino-framework/book,lsaffre/lino_book,552
tgstation/tgstation,tgstation/-tg-station,1576
tgstation/-tg-station,tgstation/tgstation,1576
philwareham/txp-hive-admin-theme,philwareham/textpattern-hive-admin-theme,297
philwareham/textpattern-hive-admin-theme,philwareham/txp-hive-admin-theme,297
regardscitoyens/Collaborateurs-Senat,regardscitoyens/Collaborateurs-Parlement,809
regardscitoyens/Collaborateurs-Parlement,regardscitoyens/Collaborateurs-Senat,809
APIs-guru/openapi-directory,APIs-guru/api-models,298
rackerlabs/django-DefectDojo,OWASP/django-DefectDojo,298
influxdata/docs.influxdata.com,influxdb/docs.influxdata.com,298
OWASP/django-DefectDojo,rackerlabs/django-DefectDojo,298
influxdb/docs.influxdata.com,influxdata/docs.influxdata.com,298
APIs-guru/api-models,APIs-guru/openapi-directory,298
rpm-software-management/ci-dnf-stack,rholy/dnf-stack-ci,554
rholy/dnf-stack-ci,rpm-software-management/ci-dnf-stack,554
df8oe/mchf-github,df8oe/UHSDR,299
colinxfleming/dcaf_case_management,DCAFEngineering/dcaf_case_management,299
DCAFEngineering/dcaf_case_management,colinxfleming/dcaf_case_management,299
df8oe/UHSDR,df8oe/mchf-github,299
domob1812/namecore,ElementsProject/elements,555
qtumproject/qtum,ElementsProject/elements,555
ElementsProject/elements,qtumproject/qtum,555
ElementsProject/elements,fujicoin/fujicoin,555
ElementsProject/elements,bitcoin/bitcoin,555
bitcoin/bitcoin,ElementsProject/elements,555
ElementsProject/elements,domob1812/namecore,555
ElementsProject/elements,FeatherCoin/Feathercoin,555
fujicoin/fujicoin,ElementsProject/elements,555
FeatherCoin/Feathercoin,ElementsProject/elements,555
fujicoin/fujicoin,domob1812/namecore,2347
bitcoin/bitcoin,fujicoin/fujicoin,2347
fujicoin/fujicoin,bitcoin/bitcoin,2347
domob1812/namecore,fujicoin/fujicoin,2347
mattgodbolt/compiler-explorer,mattgodbolt/gcc-explorer,1068
mattgodbolt/gcc-explorer,mattgodbolt/compiler-explorer,1068
scmrtos/openocd-scmrtos,riscv/riscv-openocd,301
riscv/riscv-openocd,olerem/openocd,301
yishn/Sabaki,yishn/Goban,301
sysprogs/openocd,riscv/riscv-openocd,301
riscv/riscv-openocd,scmrtos/openocd-scmrtos,301
ntfreak/openocd,riscv/riscv-openocd,301
yishn/Goban,yishn/Sabaki,301
olerem/openocd,riscv/riscv-openocd,301
riscv/riscv-openocd,sysprogs/openocd,301
riscv/riscv-openocd,ntfreak/openocd,301
firesidefiction/magazine,firesidefiction/firesidefiction.github.io,302
cjsu/SMAPI,Pathoschild/SMAPI,302
DBCG/cqf-ruler,DBCG/cql_measure_processor,302
DBCG/cql_measure_processor,DBCG/cqf-ruler,302
Pathoschild/SMAPI,cjsu/SMAPI,302
firesidefiction/firesidefiction.github.io,firesidefiction/magazine,302
frappe/erpnext,ovresko/erpnext,814
ovresko/erpnext,frappe/erpnext,814
wikimedia/apps-ios-wikipedia,wikimedia/wikipedia-ios,3118
wikimedia/wikipedia-ios,wikimedia/apps-ios-wikipedia,3118
batfish/batfish,intentionet/batfish,2095
intentionet/batfish,batfish/batfish,2095
MinnPost/object-sync-for-salesforce,MinnPost/salesforce-rest-api,304
MinnPost/salesforce-rest-api,MinnPost/object-sync-for-salesforce,304
phacility/phabricator,wikimedia/phabricator,816
wikimedia/phabricator,phacility/phabricator,816
alcohol/paste.robbast.nl,alcohol/sf-minimal-demo,305
alcohol/sf-minimal-demo,alcohol/paste.robbast.nl,305
frida/glib,GNOME/glib,561
GNOME/glib,frida/glib,561
endlessm/glib,frida/glib,561
frida/glib,endlessm/glib,561
etalab/udata,opendatateam/udata,308
opendatateam/udata,etalab/udata,308
endlessm/mutter,GNOME/mutter,1076
GNOME/mutter,endlessm/mutter,1076
uclouvain/OSIS-Louvain,uclouvain/osis,6196
uclouvain/osis,uclouvain/OSIS-Louvain,6196
felipeZ/nonAdiabaticCoupling,SCM-NV/qmworks-namd,309
apache/incubator-mxnet,dmlc/mxnet,309
SCM-NV/qmworks-namd,felipeZ/nonAdiabaticCoupling,309
dmlc/mxnet,apache/incubator-mxnet,309
fossasia/open-event-android,fossasia/rp15,565
fossasia/rp15,fossasia/open-event-android,565
openembedded/meta-openembedded,rehsack/meta-openembedded,2613
rehsack/meta-openembedded,openembedded/meta-openembedded,2613
EBIvariation/eva-ws,EBIvariation/eva,310
EBIvariation/eva,EBIvariation/eva-ws,310
Didou09/tofu,ToFuProject/tofu,311
mozilla-services/screenshots,mozilla-services/pageshot,311
mozilla-services/pageshot,mozilla-services/screenshots,311
ToFuProject/tofu,Didou09/tofu,311
hexojs/hexo,kywk/hexi,312
kywk/hexi,hexojs/hexo,312
ghent360/lede-project,wongsyrone/lede-1,2872
wongsyrone/lede-1,ghent360/lede-project,2872
wongsyrone/lede-1,lede-project/source,2872
openwrt/openwrt,wongsyrone/lede-1,2872
wongsyrone/lede-1,openwrt/openwrt,2872
lede-project/source,wongsyrone/lede-1,2872
faucetsdn/faucet,REANNZ/faucet,1337
REANNZ/faucet,faucetsdn/faucet,1337
dryrb/dry-data,dryrb/dry-types,314
numixproject/numix-core,numixproject/circle-core,314
dryrb/dry-types,dryrb/dry-data,314
numixproject/circle-core,numixproject/numix-core,314
ghent360/lede-project-packages,openwrt/packages,4154
ghent360/lede-project-packages,jszakmeister/old-packages,4154
jszakmeister/old-packages,ghent360/lede-project-packages,4154
openwrt/packages,ghent360/lede-project-packages,4154
jeremi360/Ren-GD,jeremi360/Ren,315
openai/cleverhans,tensorflow/cleverhans,315
tensorflow/cleverhans,openai/cleverhans,315
jeremi360/Ren,jeremi360/Ren-GD,315
dreampet/gitlab,iiet/iiet-git,315
iiet/iiet-git,dreampet/gitlab,315
DethRaid/nova-renderer,DethRaid/vulkan-mod,571
ethereum/go-ethereum,ethersphere/go-ethereum,571
DethRaid/vulkan-mod,DethRaid/nova-renderer,571
ethersphere/go-ethereum,ethereum/go-ethereum,571
zstackorg/zstack-utility,zstackio/zstack-utility,316
zstackio/zstack-utility,zstackorg/zstack-utility,316
HIPERFIT/futhark,diku-dk/futhark,316
diku-dk/futhark,HIPERFIT/futhark,316
AMDmi3/repology,repology/repology,572
bioconda/bioconda-recipes,bioconda/recipes,572
bioconda/recipes,bioconda/bioconda-recipes,572
repology/repology,AMDmi3/repology,572
opencobra/memote,biosustain/memote,317
adrn/gala,adrn/gary,317
adrn/gary,adrn/gala,317
mRemoteNG/mRemoteNG,rmcardle/mRemoteNG,317
rmcardle/mRemoteNG,mRemoteNG/mRemoteNG,317
biosustain/memote,opencobra/memote,317
vector-im/vector-android,vector-im/riot-android,829
vector-im/riot-android,vector-im/vector-android,829
ipfs/go-libp2p,libp2p/go-libp2p,318
libp2p/go-libp2p,ipfs/go-libp2p,318
mariusandra/kea-logic,keajs/kea,318
keajs/kea,mariusandra/kea-logic,318
GerritCodeReview/gerrit,qtproject/qtqa-gerrit,575
qtproject/qtqa-gerrit,GerritCodeReview/gerrit,575
zubairq/yazz,zubairq/gosharedata,1087
zubairq/gosharedata,zubairq/yazz,1087
jspaaks/collab-demos,NLeSC/collab-demos,320
Squishymedia/BIDS-Validator,Squishymedia/bids-validator,320
NLeSC/collab-demos,jspaaks/collab-demos,320
Squishymedia/bids-validator,Squishymedia/BIDS-Validator,320
LiskHQ/lisk,LiskHQ/lisk-js,832
LiskHQ/lisk-js,LiskHQ/lisk,832
universityofglasgow/moodle,moodle/moodle,1856
moodle/moodle,universityofglasgow/moodle,1856
apache/airflow,airbnb/airflow,321
mistercrunch/airflow,airbnb/airflow,321
airbnb/airflow,apache/airflow,321
apache/incubator-airflow,airbnb/airflow,321
airbnb/airflow,apache/incubator-airflow,321
airbnb/airflow,mistercrunch/airflow,321
HeapsIO/heaps,ncannasse/heaps,322
ncannasse/heaps,HeapsIO/heaps,322
opentower/carnap,gleachkr/Carnap,323
gleachkr/Carnap,opentower/carnap,323
FlatlanderWoman/personalWebsite,FlatlanderWoman/portfolio,323
FlatlanderWoman/portfolio,FlatlanderWoman/personalWebsite,323
evernym/plenum,evernym/zeno,323
itchio/itchio-app,itchio/itch,323
evernym/zeno,evernym/plenum,323
itchio/itch,itchio/itchio-app,323
itchio/itchio-app,leafo/itchio-app,323
leafo/itchio-app,itchio/itchio-app,323
tildeio/glimmer,glimmerjs/glimmer-vm,325
glimmerjs/glimmer-vm,tildeio/glimmer,325
emmericp/dpdk,DPDK/dpdk,1605
anlaneg/dpdk,emmericp/dpdk,1605
emmericp/dpdk,grivet/dpdk,1605
grivet/dpdk,emmericp/dpdk,1605
napatech/dpdk,emmericp/dpdk,1605
DPDK/dpdk,emmericp/dpdk,1605
emmericp/dpdk,ferruhy/dpdk,1605
emmericp/dpdk,anlaneg/dpdk,1605
emmericp/dpdk,napatech/dpdk,1605
ferruhy/dpdk,emmericp/dpdk,1605
f-droid/fdroiddata,f-droid/fdroid-data,3141
f-droid/fdroid-data,f-droid/fdroiddata,3141
hughsie/libhif,rpm-software-management/libdnf,326
jeblad/spec,jeblad/Pickle,326
rpm-software-management/libdnf,hughsie/libhif,326
jeblad/Pickle,jeblad/spec,326
zencart/zencart,zencart/zc-v1-series,1350
zencart/zc-v1-series,zencart/zencart,1350
jazzband/django-axes,django-pci/django-axes,327
driftyco/ionic-site,ionic-team/ionic-site,327
ionic-team/ionic-site,driftyco/ionic-site,327
django-pci/django-axes,jazzband/django-axes,327
XCSoar/XCSoar,Exadios/xcsoar-exp,328
africanmathsinitiative/Instat,africanmathsinitiative/R-Instat,328
africanmathsinitiative/R-Instat,africanmathsinitiative/Instat,328
Exadios/xcsoar-exp,XCSoar/XCSoar,328
steinbaugh/seqcloudr,steinbaugh/basejump,1353
steinbaugh/basejump,steinbaugh/seqcloudr,1353
unboxed/unboxed.co,unboxed/ubxd_web_refresh,330
unboxed/ubxd_web_refresh,unboxed/unboxed.co,330
lyft/envoy,envoyproxy/envoy,586
envoyproxy/envoy-wasm,lyft/envoy,586
lyft/envoy,envoyproxy/envoy-wasm,586
envoyproxy/envoy,lyft/envoy,586
Microsoft/vso-agent-tasks,Microsoft/vsts-tasks,331
Microsoft/vsts-tasks,Microsoft/vso-agent-tasks,331
chrislo27/RhythmHeavenRemixEditor,chrislo27/RhythmHeavenRemixEditor2,587
chrislo27/RhythmHeavenRemixEditor2,chrislo27/RhythmHeavenRemixEditor,587
budparr/thenewdynamic,thenewdynamic-org/thenewdynamic.org,332
thenewdynamic-org/thenewdynamic.org,budparr/thenewdynamic,332
PnX-SI/GeoNature,PnEcrins/GeoNature,333
PnEcrins/GeoNature,PnX-SI/GeoNature,333
neicnordic/experimental.neic.nordforsk.org,neicnordic/neic.no,589
tetherless-world/satoru,tetherless-world/graphene,589
neicnordic/neic.no,neicnordic/experimental.neic.nordforsk.org,589
tetherless-world/graphene,tetherless-world/satoru,589
dpavlin/Koha,Koha-Community/Koha,845
colinsc/koha,dpavlin/Koha,845
Koha-Community/Koha,dpavlin/Koha,845
fredericd/Koha,dpavlin/Koha,845
dpavlin/Koha,fredericd/Koha,845
dpavlin/Koha,colinsc/koha,845
json-api-dotnet/JsonApiDotNetCore,Research-Institute/json-api-dotnet-core,334
Research-Institute/json-api-dotnet-core,json-api-dotnet/JsonApiDotNetCore,334
docker/docker,moby/moby,1870
moby/moby,docker/docker,1870
kfowler/emacs-mac,stinsonga/emacs-mirror,335
stinsonga/emacs-mirror,iquiw/emacs-Win32-IME,335
kfowler/emacs,iquiw/emacs-Win32-IME,335
stinsonga/emacs-mirror,kfowler/emacs-mac,335
iquiw/emacs-Win32-IME,kfowler/emacs,335
emacs-mirror/emacs,iquiw/emacs-Win32-IME,335
iquiw/emacs-Win32-IME,kfowler/emacs-mac,335
iquiw/emacs-Win32-IME,emacs-mirror/emacs,335
kfowler/emacs-mac,kfowler/emacs,335
kfowler/emacs-mac,iquiw/emacs-Win32-IME,335
emacs-mirror/emacs,kfowler/emacs-mac,335
kfowler/emacs,kfowler/emacs-mac,335
iquiw/emacs-Win32-IME,stinsonga/emacs-mirror,335
kfowler/emacs-mac,emacs-mirror/emacs,335
wikimedia/phabricator,wikimedia/phabricator-phabricator,847
wikimedia/phabricator-phabricator,wikimedia/phabricator,847
bitsquare/bitsquare,bisq-network/exchange,1103
bisq-network/exchange,bitsquare/bitsquare,1103
FarmBot/farmbot-web-app,FarmBot/Farmbot-Web-API,1359
FarmBot/Farmbot-Web-API,FarmBot/farmbot-web-app,1359
ContinuumIO/dask,blaze/dask,336
blaze/dask,ContinuumIO/dask,336
transcendent-ai-labs/PlasmaML,mandar2812/PlasmaML,337
tensorflow/tfjs-core,tensorflow/tfjs,337
mandar2812/PlasmaML,transcendent-ai-labs/PlasmaML,337
tensorflow/tfjs,tensorflow/tfjs-core,337
OpenTTD/OpenTTD,JGRennison/OpenTTD-patches,849
JGRennison/OpenTTD-patches,OpenTTD/OpenTTD,849
qtumproject/qtum,bitcoin/bitcoin,594
qtumproject/qtum,domob1812/namecore,594
fujicoin/fujicoin,qtumproject/qtum,594
fujicoin/fujicoin,FeatherCoin/Feathercoin,594
qtumproject/qtum,fujicoin/fujicoin,594
domob1812/namecore,qtumproject/qtum,594
FeatherCoin/Feathercoin,domob1812/namecore,594
FeatherCoin/Feathercoin,bitcoin/bitcoin,594
bitcoin/bitcoin,FeatherCoin/Feathercoin,594
FeatherCoin/Feathercoin,fujicoin/fujicoin,594
bitcoin/bitcoin,qtumproject/qtum,594
domob1812/namecore,FeatherCoin/Feathercoin,594
mattmakai/fullstackpython.com,makaimc/fullstackpython.com,339
galahq/gala,michigan-sustainability-cases/gala,339
makaimc/fullstackpython.com,mattmakai/fullstackpython.com,339
OPM/opm-common,OPM/opm-cmake,339
Citadel-Station-13/Citadel-Station-13,Citadel-Station-13/Citadel-Station-13-6th-Port,339
michigan-sustainability-cases/gala,galahq/gala,339
Citadel-Station-13/Citadel-Station-13-6th-Port,Citadel-Station-13/Citadel-Station-13,339
rryqszq4/ngx_php7,rryqszq4/php7-nginx-module,339
OPM/opm-cmake,OPM/opm-common,339
rryqszq4/php7-nginx-module,rryqszq4/ngx_php7,339
TeamHypersomnia/Hypersomnia,TeamHypersomnia/Augmentations,595
TeamHypersomnia/Augmentations,TeamHypersomnia/Hypersomnia,595
