first_repo_name,second_repo_name,joint_commits
jarun/nnn,jarun/noice,990
ferruhy/dpdk,DPDK/dpdk,4318
DPDK/dpdk,ferruhy/dpdk,4318
Nosto/php-sdk,Nosto/nosto-php-sdk,223
Nosto/nosto-php-sdk,Nosto/php-sdk,223
iamanai/ModernGadgets,raiguard/ModernGadgets,479
raiguard/ModernGadgets,iamanai/ModernGadgets,479
emacsmirror/org,bzg/org-mode,735
bzg/org-mode,emacsmirror/org,735
meren/anvio,merenlab/anvio,224
merenlab/anvio,meren/anvio,224
elvman/ouzel,elnormous/ouzel,480
yunity/foodsaving-frontend,yunity/karrot-frontend,480
elnormous/ouzel,elvman/ouzel,480
yunity/karrot-frontend,yunity/foodsaving-frontend,480
rancher/ui,rancherio/ui,992
rancherio/ui,rancher/ui,992
dadoonet/fscrawler,dadoonet/fsriver,225
dvarrui/checking-machines,dvarrui/tt-checker,225
dadoonet/fsriver,dadoonet/fscrawler,225
dvarrui/tt-checker,dvarrui/checking-machines,225
n7tae/g2_ircddb,ac2ie/g2_ircddb,226
ac2ie/g2_ircddb,n7tae/g2_ircddb,226
sebmck/lerna,lerna/lerna,226
lerna/lerna,sebmck/lerna,226
openstack/python-openstackclient,dtroyer/python-openstackclient,226
dtroyer/python-openstackclient,openstack/python-openstackclient,226
sorgerlab/belpy,sorgerlab/indra,482
sorgerlab/indra,sorgerlab/belpy,482
vatlab/SOS,BoPeng/SOS,738
BoPeng/SOS,vatlab/SOS,738
thofma/hecke,thofma/Hecke.jl,483
thofma/Hecke.jl,thofma/hecke,483
progrium/dokku,dokku/dokku,739
dokku/dokku,progrium/dokku,739
rkkautsar/blog,hb-gatsby/gatsby-starter-lumen,228
hb-gatsby/gatsby-starter-lumen,alxshelepenok/gatsby-starter-lumen,228
hb-gatsby/gatsby-starter-lumen,rkkautsar/blog,228
alxshelepenok/gatsby-starter-lumen,hb-gatsby/gatsby-starter-lumen,228
slackapi/node-slack-sdk,slackhq/node-slack-client,484
slackhq/node-slack-client,slackapi/node-slack-sdk,484
TheIndifferent/jenkins-scm-koji-plugin,judovana/jenkins-scm-koji-plugin,229
dataversioncontrol/dvc,dmpetrov/dataversioncontrol,229
dmpetrov/dataversioncontrol,dataversioncontrol/dvc,229
ChristianSi/lytspel,ChristianSi/phoneng,229
judovana/jenkins-scm-koji-plugin,TheIndifferent/jenkins-scm-koji-plugin,229
ChristianSi/phoneng,ChristianSi/lytspel,229
Amsterdam/atlas,DatapuntAmsterdam/atlas,485
DatapuntAmsterdam/atlas_prototype,DatapuntAmsterdam/atlas,485
DatapuntAmsterdam/atlas,Amsterdam/atlas,485
DatapuntAmsterdam/atlas,DatapuntAmsterdam/atlas_prototype,485
openSUSE/libstorage-ng,openSUSE/libstorage-bgl-eval,230
openSUSE/libstorage-bgl-eval,openSUSE/libstorage-ng,230
adaltas/node-mecano,adaltas/node-nikita,230
markbates/buffalo,gobuffalo/buffalo,230
adaltas/node-nikita,adaltas/node-mecano,230
gobuffalo/buffalo,markbates/buffalo,230
dbinetti/barberscore-django,barberscore/barberscore-api,998
barberscore/barberscore-api,dbinetti/barberscore-django,998
Kronos-Integration/kronos-interceptor-line-parser,Kronos-Integration/stream-line-parser,231
ArmaOverthrow/Overthrow.Tanoa,ArmaOverthrow/Overthrow,231
mmistakes/minimal-mistakes,bum752/bum752.github.io,231
bum752/bum752.github.io,jijames/dfir.science,231
jijames/dfir.science,bum752/bum752.github.io,231
blockstack/opendig,blockstack/blockstack-client,231
Blazemeter/taurus,greyfenrir/taurus,231
Kronos-Integration/stream-line-parser,Kronos-Integration/kronos-interceptor-line-parser,231
greyfenrir/taurus,Blazemeter/taurus,231
bum752/bum752.github.io,mmistakes/minimal-mistakes,231
ArmaOverthrow/Overthrow,ArmaOverthrow/Overthrow.Tanoa,231
blockstack/blockstack-client,blockstack/opendig,231
jabberzac/Overthrow,ArmaOverthrow/Overthrow.Tanoa,231
ArmaOverthrow/Overthrow.Tanoa,jabberzac/Overthrow,231
vicnet/weboob,laurentb/weboob,1001
laurentb/weboob,vicnet/weboob,1001
glimix/limix-inference,limix/glimix-core,234
limix/glimix-core,glimix/limix-inference,234
PKief/vscode-extension-material-icon-theme,PKief/vscode-material-icon-theme,235
MetacoSA/NBitcoin,NicolasDorier/NBitcoin,235
NicolasDorier/NBitcoin,MetacoSA/NBitcoin,235
PKief/vscode-material-icon-theme,PKief/vscode-extension-material-icon-theme,235
noblepepper/openwrt,lede-project/source,2283
noblepepper/openwrt,wongsyrone/lede-1,2283
openwrt/openwrt,noblepepper/openwrt,2283
wongsyrone/lede-1,noblepepper/openwrt,2283
ghent360/lede-project,noblepepper/openwrt,2283
noblepepper/openwrt,openwrt/openwrt,2283
noblepepper/openwrt,ghent360/lede-project,2283
lede-project/source,noblepepper/openwrt,2283
tblume/systemd-testsuite-suse,openSUSE/systemd,3819
tblume/systemd-testsuite-suse,systemd/systemd,3819
openSUSE/systemd,tblume/systemd-testsuite-suse,3819
systemd/systemd-stable,tblume/systemd-testsuite-suse,3819
tblume/systemd-testsuite-suse,systemd/systemd-stable,3819
systemd/systemd,tblume/systemd-testsuite-suse,3819
konnov/dach,konnov/apalache,236
konnov/apalache,konnov/dach,236
skirpichev/omg,diofant/diofant,236
oxygenhq/oxygen-node,oxygenhq/oxygen,236
diofant/diofant,skirpichev/omg,236
oxygenhq/oxygen,oxygenhq/oxygen-node,236
switchfly/ember-mocha,emberjs/ember-mocha,237
emberjs/ember-mocha,switchfly/ember-mocha,237
mmistakes/minimal-mistakes,jijames/dfir.science,237
jijames/dfir.science,mmistakes/minimal-mistakes,237
kalabox/lando,lando/lando,749
lando/lando,kalabox/lando,749
storybooks/storybook,storybooks/react-storybook,3566
storybooks/react-storybook,storybooks/storybook,3566
hyperapp/hyperapp,jbucaran/hyperapp,239
yaocloud/yao,udzura/oslo,239
mosdef-hub/foyer,iModels/foyer,239
iModels/foyer,mosdef-hub/foyer,239
jbucaran/hyperapp,hyperapp/hyperapp,239
udzura/oslo,yaocloud/yao,239
Rothamsted/knetminer,KeywanHP/QTLNetMiner,496
KeywanHP/QTLNetMiner,Rothamsted/knetminer,496
rhosqeauto/InfraRed,redhat-openstack/infrared,752
redhat-openstack/infrared,rhosqeauto/InfraRed,752
thommcgrath/Beacon-For-Ark,thommcgrath/Beacon,241
thommcgrath/Beacon,thommcgrath/Beacon-For-Ark,241
azavea/raster-foundry,raster-foundry/raster-foundry,497
raster-foundry/raster-foundry,azavea/raster-foundry,497
openembedded/meta-openembedded,mrchapp/meta-openembedded,1777
mrchapp/meta-openembedded,openembedded/meta-openembedded,1777
rehsack/meta-openembedded,mrchapp/meta-openembedded,1777
mrchapp/meta-openembedded,rehsack/meta-openembedded,1777
grommet/grommet,HewlettPackard/grommet,242
HewlettPackard/grommet,grommet/grommet,242
primer/primer-css,primer/primer,755
primer/primer,primer/primer-css,755
qutebrowser/qutebrowser,The-Compiler/qutebrowser,755
The-Compiler/qutebrowser,qutebrowser/qutebrowser,755
eurofurence/ef-app_ios,Fenrikur/ef-app_ios,1011
Fenrikur/ef-app_ios,eurofurence/ef-app_ios,1011
jovr/imgui,kotlin-graphics/imgui,245
kotlin-graphics/imgui,jovr/imgui,245
cliffordwolf/yosys,YosysHQ/yosys,245
YosysHQ/yosys,cliffordwolf/yosys,245
MarginallyClever/Robot-Overlord,MarginallyClever/Robot-Overlord-App,501
droolsjbpm/kie-wb-common,kiegroup/kie-wb-common,501
kiegroup/kie-wb-common,droolsjbpm/kie-wb-common,501
MarginallyClever/Robot-Overlord-App,MarginallyClever/Robot-Overlord,501
milkypostman/melpa,melpa/melpa,757
melpa/melpa,milkypostman/melpa,757
decaffeinate/decaffeinate-parser,eventualbuddha/decaffeinate-parser,246
eventualbuddha/decaffeinate-parser,decaffeinate/decaffeinate-parser,246
phacility/phabricator,wikimedia/phabricator-phabricator,758
wikimedia/phabricator-phabricator,phacility/phabricator,758
kiwitcms/Kiwi,MrSenko/Kiwi,1014
MrSenko/Kiwi,kiwitcms/Kiwi,1014
hack4code/BlogSpider,wartalker/BlogSpider,247
wartalker/BlogSpider,hack4code/BlogSpider,247
GNOME/gnome-software,endlessm/gnome-software,503
endlessm/gnome-software,GNOME/gnome-software,503
arshaw/fullcalendar,fullcalendar/fullcalendar,503
fullcalendar/fullcalendar,arshaw/fullcalendar,503
fuadsaud/houdini,fuadsaud/J.A.R.V.I.S,248
networknt/undertow-server,networknt/light-java,248
networknt/light-java,networknt/light-4j,248
fuadsaud/J.A.R.V.I.S,fuadsaud/houdini,248
networknt/light-java,networknt/undertow-server,248
networknt/light-4j,networknt/undertow-server,248
networknt/light-4j,networknt/light-java,248
networknt/undertow-server,networknt/light-4j,248
jabberzac/Overthrow,ArmaOverthrow/Overthrow,504
ArmaOverthrow/Overthrow,jabberzac/Overthrow,504
bkaradzic/SwiftShader,google/swiftshader,1528
google/swiftshader,bkaradzic/SwiftShader,1528
apache/incubator-superset,airbnb/superset,249
apollographql/react-apollo,apollostack/react-apollo,249
palantir/sls-packaging,palantir/gradle-java-distribution,249
airbnb/superset,apache/incubator-superset,249
palantir/gradle-java-distribution,palantir/sls-packaging,249
apollostack/react-apollo,apollographql/react-apollo,249
RavenX8/osIROSE-new,dev-osrose/osIROSE-new,250
dev-osrose/osIROSE-new,RavenX8/osIROSE-new,250
vialectrum/vialectrum,spesmilo/electrum,251
spesmilo/electrum,vialectrum/vialectrum,251
platformio/platformio,platformio/platformio-core,763
platformio/platformio-core,platformio/platformio,763
zalando/riptide,whiskeysierra/riptide,252
whiskeysierra/riptide,zalando/riptide,252
triceo/robozonky,RoboZonky/robozonky,252
f-droid/fdroidserver,fdroidtravis/fdroidserver,252
fdroidtravis/fdroidserver,f-droid/fdroidserver,252
RoboZonky/robozonky,triceo/robozonky,252
GoogleCloudPlatform/gcloud-python,googleapis/google-cloud-python,1276
googleapis/google-cloud-python,GoogleCloudPlatform/gcloud-python,1276
guix-mirror/guix,Millak/guix,14332
Millak/guix,guix-mirror/guix,14332
Inlife/noxrender,Inlife/nexrender,253
gomorpheus/morpheus-cli,bertramdev/morpheus-cli,253
d2l-ai/d2l-zh,mli/gluon-tutorials-zh,253
bertramdev/morpheus-cli,gomorpheus/morpheus-cli,253
Inlife/nexrender,Inlife/noxrender,253
mli/gluon-tutorials-zh,d2l-ai/d2l-zh,253
frida/vala,GNOME/vala,254
GNOME/vala,frida/vala,254
Grafeas/Grafeas,grafeas/grafeas,510
grafeas/grafeas,Grafeas/Grafeas,510
NOAA-PMEL/Ferret,NOAA-PMEL/PyFerret,255
objectarts/Dolphin,dolphinsmalltalk/Dolphin,255
xieguigang/VisualBasic_AppFramework,xieguigang/sciBASIC,255
xieguigang/sciBASIC,xieguigang/VisualBasic_AppFramework,255
NOAA-PMEL/PyFerret,NOAA-PMEL/Ferret,255
DeDiS/cothority,ineiti/cothorities,255
ineiti/cothorities,DeDiS/cothority,255
dolphinsmalltalk/Dolphin,objectarts/Dolphin,255
poldracklab/preprocessing-workflow,poldracklab/fmriprep,511
poldracklab/fmriprep,poldracklab/preprocessing-workflow,511
open-power/skiboot,qemu/skiboot,767
qemu/skiboot,open-power/skiboot,767
victorbrodsky/order-lab,cinava/order-lab,1279
cinava/order-lab,victorbrodsky/order-lab,1279
apereo/cas,fogbeam/cas_mirror,2047
fogbeam/cas_mirror,apereo/cas,2047
