id,repository,status,tfdd_date,tfdd_commit
160,react-dnd/react-dnd,Non-surviving,2016-04-08 20:36:44,89763d18eba16c2ec3310a831e1b5f8c0f20530c
161,handsontable/handsontable,Surviving,2015-01-09 13:36:09,c1052b33edc76e3c8c5573bea2445f3d48c257db
162,Shopify/identity_cache,Surviving,2013-12-13 16:05:10,229aa9fca77d2526d0f8bd775073aef21cafe6be
163,PyCQA/pycodestyle,Non-surviving,2014-12-18 06:39:05,b1bde9f2bbcad0f3c86960e58c7cb98ec0cbfd77
164,igrigorik/em-websocket,Non-surviving,2015-01-24 12:27:43,b8142915b09d84e79b06548a1468e42bf64439b3
165,JacksonTian/fks,Non-surviving,2015-03-03 03:18:20,e08fc5ce6348f1e651c6e719c7365bba4446772c
166,s3tools/s3cmd,Non-surviving,2014-10-27 22:05:40,ff7150306250d373ca2ccc9ccbe6d6721be89453
167,ruby-prof/ruby-prof,Surviving,2013-08-15 06:03:20,1051387516f00316d753e8b6b027da48796c02c1
168,NetEase/pomelo,Non-surviving,2016-01-14 00:22:01,a9a2f2ec2d87803bacc6e0e6c5c0b8ca40b4b6d4
169,paramiko/paramiko,Non-surviving,2011-05-23 17:49:47,974294ad7d083c49bffe9189cac0d5b08984b1ad
170,redis/redis-rb,Non-surviving,2014-05-01 11:37:44,d2b776665eeb22258f488ef182e2c7a0ddf0f09c
171,chriso/validator.js,Non-surviving,2016-02-21 19:19:20,8c59fd1c8048bbe4983318ccc938dc26674c8a0b
172,mikel/mail,Non-surviving,2014-11-03 10:59:32,651de9e14623b2fc32b666c838bab6f17fcb3ead
173,doorkeeper-gem/doorkeeper,Non-surviving,2013-08-28 14:19:22,8d6cac8c0d41cd1af9240879c3f2a2d36fb44521
174,MrRio/jsPDF,Surviving,2012-11-01 21:04:37,c3974c93ded32cad93c226b8036a922b80b81f8b
175,segmentio/metalsmith,Non-surviving,2015-09-24 18:58:43,83d79a65c69e0d902c2128832d2dfba24e64121c
176,mustache/mustache,Surviving,2013-11-11 16:11:57,70e725e03416085e42006457c7f717ea8d6697b8
