id,repository,status,tfdd_date,tfdd_commit
260,CyberAgent/android-gpuimage,Non-surviving,2013-10-16 01:59:51,d4012a80dd9834e01885f425e7809b2c789f4bcb
261,zxing/zxing,Non-surviving,2014-01-14 13:48:35,1773520808bb6aee92c9003bd2d665b2f1dfaab3
262,svenfuchs/rails-i18n,Non-surviving,2013-02-19 05:32:47,acdb68794a7d575a411f48f5a40547424fd2ef34
263,avast/android-butterknife-zelezny,Surviving,2014-08-15 10:17:37,c400b9725f4c50e8fa4067a580c1fb058721f87f
264,django-compressor/django-compressor,Surviving,2014-12-30 10:58:30,4c3ae4cdfc3bd5026da45c3233d59a4ad608aed3
265,videojs/video.js,Surviving,2015-12-10 16:38:49,b1e7bfd8f850a875d84d3fa482a7a773af4ffbd2
266,paypal/PayPal-PHP-SDK,Surviving,2013-11-04 08:34:47,5b01b235aee35a62596b7b9dd5a77c6c6b8809ce
267,mileszs/wicked_pdf,Surviving,2013-04-10 16:08:34,7ded9317820d0b39642ba70eb09a156225c74803
268,pallets/click,Non-surviving,2016-03-25 07:49:35,ae5386bac1a19d2a8fd0d8f8e3dcf090607cbb9b
269,CodeSeven/toastr,Non-surviving,2015-08-16 09:13:50,4a6e9f81fbafcd15da000f7dedb468859566ca28
270,gruntjs/grunt,Non-surviving,2015-05-05 13:59:38,2ddec56192ba6599cd3aeb0dc812f54cfe83c07b
271,pypa/virtualenv,Non-surviving,2012-05-04 18:58:35,cd9fbfe9319123d14f9528bae4ede0617e1806a2
272,devopsgroup-io/vagrant-digitalocean,Non-surviving,2014-08-31 14:35:34,4c5091325bfbc411d2a3a782d4251cbcf1695597
273,bower/bower,Non-surviving,2014-03-25 08:51:40,321ddabfd565e211dd58ce5692613b322ae6372e
274,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,Non-surviving,2015-05-16 14:45:49,9bcd20f23ead64b4c958cf0abe499d0e88127db4
275,KnpLabs/snappy,Non-surviving,2015-03-11 09:24:42,f29edc4e53429deec2b394926a8f743a0ad2e28e
276,expressjs/express,Surviving,2014-02-19 20:29:39,81036aa6399ff3ed2285ca9017850a65037e2e8c
277,restify/node-restify,Surviving,2015-01-21 20:44:59,1c29a490513c98bb0912c9dd9eef5c808eecc847
278,django-haystack/django-haystack,Surviving,2014-10-13 00:11:17,014ffa0efb93b5efd24c38dcb9b5e5f92eb422a8
279,gollum/gollum,Non-surviving,2015-01-28 06:06:24,09364850ee15028073810cc4c1fbf403ea9f3cff
280,htacg/tidy-html5,Surviving,2012-08-21 08:37:24,0cf6d998431a61f1bd630e7883d4d43df4ad8ccc
281,react-bootstrap/react-bootstrap,Surviving,2014-11-19 21:58:22,e23fa373f87185d8c22b521606a99e782f4820ac
282,esnme/ultrajson,Non-surviving,2014-10-29 08:18:27,a8f0f0f1010956b27bf0c2cb5e52d85bb84e273a
283,stefankroes/ancestry,Non-surviving,2015-05-13 05:02:25,d8e975fc345e4d5b08e583ea8e5af73d055a30d7
284,maximebf/php-debugbar,Non-surviving,2014-09-16 11:22:43,e5d9c677175d147b72a05087b916dfd103e1df74
285,silexphp/Pimple,Non-surviving,2015-07-30 12:45:46,64e0f8320639b434baa073a40dd1e037e3286555
286,etsy/logster,Surviving,2014-01-15 18:42:23,6ebd1a403bd572d5ed83bc836ad00f5bbbd41f49
287,angular/angular-seed,Non-surviving,2015-06-15 09:41:06,a50f4c8a7a9c90942fac38aeb35ea1be183d2a76
288,composer/satis,Surviving,2015-12-15 08:11:50,89d42f741d534ddb9ec787d5890aba0799db898e
289,yeoman/generator-angular,Non-surviving,2015-07-24 15:22:56,c035c9ce552cdba57be30d1cc11d5d7d03ebc50a
290,vitalets/x-editable,Non-surviving,2015-03-12 05:34:05,f464a31550d3cfcb95a2aece266cc8735ebded04
291,stevegraham/slanger,Non-surviving,2015-09-13 21:16:39,01cb0bc75a9949845ab292e9d6ab545085a19c9f
292,fail2ban/fail2ban,Non-surviving,2015-05-09 06:26:14,7f3b31aa378d386a6efe17520b37c666c2a83b06
293,RolifyCommunity/rolify,Non-surviving,2014-07-03 15:43:17,749a07abee117ae6d56c24ee5dbbde635d8b1a23
294,Intervention/image,Surviving,2013-09-24 10:24:24,c56d00ff732ae7a0e1a2150faa9b24cb4da2f680
295,jashkenas/ruby-processing,Surviving,2012-12-28 00:19:44,7ce50a65355bfc2f22413ad4ccf2771111d06c43
296,seajs/seajs,Non-surviving,2014-05-19 03:38:59,fc78bcb0d13953b3e81ffbf9bd4466ac42884ee9
297,zendframework/ZendSkeletonApplication,Surviving,2013-04-02 22:16:58,c80bb56dffdf02da058199aeb7a65dcd2a701169
298,mongomapper/mongomapper,Non-surviving,2015-06-01 04:05:16,3eddefb9e594dcb0711ab8f6f27c8020dab1ccc6
299,dropwizard/dropwizard,Surviving,2014-03-27 10:40:41,741a1611a67f26d7cd353079c5bc80aaad4010fb
300,douban/dpark,Surviving,2013-08-08 06:43:51,6d128055eaa7799c20e8ace3f3a3bb0ce1304354
301,SirVer/ultisnips,Non-surviving,2015-12-05 08:30:27,6a69a44154dc45d9771d3b36ea263718cf93f4ec
302,remiprev/her,Non-surviving,2015-07-14 08:38:38,bfa4f11f0eef3c0a3a8310a9b65ae4c169437791
303,swiftmailer/swiftmailer,Surviving,2012-06-21 07:46:20,b23725eb3711d05e8708bd6f63e59c7268bee9ce
304,cloudera/hue,Surviving,2015-03-05 20:41:22,4b187997f4ea0a66e2aecf4a803d3e6786709af9
305,chennaione/sugar,Surviving,2015-04-11 01:09:00,19126d66ea37158a730913ac6712803a7bd2af94
306,typekit/webfontloader,Surviving,2011-01-05 05:28:25,7b513ada930d40dcb7210d8a76d822ce2c5bda9a
307,Circa75/dropplets,Non-surviving,2014-05-13 14:41:28,d2122dc51744bab218cf3bde2e20cde9e1f9ea3f
308,Automattic/node-canvas,Non-surviving,2013-08-19 12:02:24,8f15f0cd608398428e2fdf4fdf11c5d6a657f11d
309,mailboxer/mailboxer,Non-surviving,2013-08-02 17:25:34,979b1fadbbc1fc73c3bcf633ee58e261cd8d5671
310,banga/powerline-shell,Surviving,2014-11-02 07:48:07,8a28dee1bc3ca8ec83705cc431768ef18be7798c
311,Netflix/eureka,Surviving,2014-04-29 09:53:56,032c5eec6883bac9049312204c0b41339af7c5c7
312,insoshi/insoshi,Non-surviving,2008-07-20 18:24:48,e65b46a7e24ead8fad6bb9e4a3d8f5f3243aa84d
313,c3js/c3,Non-surviving,2016-05-03 22:37:19,6d9badd95b3520674124b8f6e818c8eb4d6471c2
314,casperjs/casperjs,Non-surviving,2016-01-20 15:38:18,3da55a100da3885d246a4fda59f318b1e365fc53
315,awesome-print/awesome_print,Non-surviving,2014-12-18 03:07:35,d8aeb66b4b03dfb2cc1aec4e3187ced2f826d11f
