repo_name,tfdd_date,status,commits_before_1_months,bug_hits_before_1_months,bug_ratio_before_1_months,refactor_before_1_months,commits_after_1_months,bug_hits_after_1_months,bug_ratio_after_1_months,refactor_after_1_months,commits_before_3_months,bug_hits_before_3_months,bug_ratio_before_3_months,refactor_before_3_months,commits_after_3_months,bug_hits_after_3_months,bug_ratio_after_3_months,refactor_after_3_months,commits_before_6_months,bug_hits_before_6_months,bug_ratio_before_6_months,refactor_before_6_months,commits_after_6_months,bug_hits_after_6_months,bug_ratio_after_6_months,refactor_after_6_months,commits_before_12_months,bug_hits_before_12_months,bug_ratio_before_12_months,refactor_before_12_months,commits_after_12_months,bug_hits_after_12_months,bug_ratio_after_12_months,refactor_after_12_months,commits,bug_fix_hit_rate,refactor_hit_rate
apenwarr/sshuttle,2014-10-05 23:00:57 UTC,Non-surviving,8,4,0.5,0,0,0,0.0,0,8,4,0.5,0,2,0,0.0,0,8,4,0.5,0,14,4,0.2857142857142857,1,8,4,0.5,0,51,16,0.31372549019607843,5,414,0.31159420289855072,0.14492753623188406
arasatasaygin/is.js,2016-01-14 11:44:20 UTC,Non-surviving,7,2,0.2857142857142857,1,0,0,0.0,0,8,2,0.25,1,1,0,0.0,0,9,2,0.22222222222222221,1,74,7,0.0945945945945946,19,199,25,0.12562814070351758,8,91,11,0.12087912087912088,21,403,0.11414392059553349,0.081885856079404462
assaf/vanity,2013-09-01 16:04:53 UTC,Surviving,0,0,0.0,0,12,3,0.25,0,0,0,0.0,0,50,6,0.12,6,1,1,1.0,0,102,19,0.18627450980392157,11,3,2,0.66666666666666663,1,163,31,0.19018404907975461,26,838,0.21121718377088305,0.099045346062052508
attr-encrypted/attr_encrypted,2015-10-18 01:03:08 UTC,Surviving,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,19,3,0.15789473684210525,0,10,3,0.3,1,61,8,0.13114754098360656,4,37,11,0.29729729729729731,4,82,11,0.13414634146341464,5,327,0.15902140672782875,0.051987767584097858
avast/android-butterknife-zelezny,2014-08-15 10:17:37 UTC,Surviving,12,2,0.16666666666666666,4,0,0,0.0,0,12,2,0.16666666666666666,4,7,6,0.8571428571428571,0,13,2,0.15384615384615385,4,12,7,0.58333333333333337,0,31,3,0.0967741935483871,4,29,14,0.48275862068965519,1,84,0.25,0.095238095238095233
awesome-print/awesome_print,2014-12-18 03:07:35 UTC,Non-surviving,0,0,0.0,0,18,5,0.27777777777777779,1,0,0,0.0,0,35,7,0.2,2,3,1,0.33333333333333331,1,35,7,0.2,2,10,3,0.3,1,37,7,0.1891891891891892,2,478,0.1903765690376569,0.10669456066945607
backup/backup,2014-02-08 06:46:33 UTC,Surviving,2,1,0.5,0,2,0,0.0,1,42,7,0.16666666666666666,6,5,1,0.2,1,84,12,0.14285714285714285,7,30,4,0.13333333333333333,1,282,35,0.12411347517730496,24,77,9,0.11688311688311688,1,1273,0.14218381775333858,0.087981146897093479
banga/powerline-shell,2014-11-02 07:48:07 UTC,Surviving,2,0,0.0,0,0,0,0.0,0,2,0,0.0,0,0,0,0.0,0,11,3,0.27272727272727271,1,0,0,0.0,0,37,7,0.1891891891891892,1,40,2,0.05,8,572,0.17657342657342656,0.085664335664335664
binarylogic/settingslogic,2012-12-30 21:39:27 UTC,Non-surviving,0,0,0.0,0,0,0,0.0,0,7,2,0.2857142857142857,2,0,0,0.0,0,7,2,0.2857142857142857,2,2,0,0.0,0,28,11,0.39285714285714285,3,4,2,0.5,0,121,0.19008264462809918,0.099173553719008267
bower/bower,2014-03-25 08:51:40 UTC,Non-surviving,29,4,0.13793103448275862,2,56,12,0.21428571428571427,8,96,24,0.25,4,102,17,0.16666666666666666,11,168,47,0.27976190476190477,9,194,41,0.211340206185567,15,1345,311,0.2312267657992565,122,296,66,0.22297297297297297,25,2717,0.2340817077659183,0.084652189915347814
boxen/our-boxen,2013-12-09 18:55:34 UTC,Non-surviving,10,2,0.2,0,14,0,0.0,3,24,4,0.16666666666666666,0,28,3,0.10714285714285714,4,85,10,0.11764705882352941,4,87,28,0.32183908045977011,7,194,26,0.13402061855670103,7,128,32,0.25,11,651,0.16282642089093702,0.03840245775729647
brandonhilkert/sucker_punch,2016-04-25 11:51:32 UTC,Non-surviving,0,0,0.0,0,0,0,0.0,0,7,0,0.0,0,1,1,1.0,0,60,2,0.033333333333333333,4,2,1,0.5,0,105,5,0.047619047619047616,6,4,1,0.25,0,311,0.083601286173633438,0.0707395498392283
browsermedia/browsercms,2014-09-30 19:33:18 UTC,Non-surviving,1,0,0.0,0,0,0,0.0,0,8,7,0.875,0,0,0,0.0,0,9,8,0.88888888888888884,0,0,0,0.0,0,127,53,0.41732283464566927,12,0,0,0.0,0,2533,0.3197789182787209,0.12593762337149625
brynary/webrat,2012-06-15 18:40:05 UTC,Non-surviving,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,2,1,0.5,0,11,1,0.090909090909090912,0,4,1,0.25,1,1082,0.10720887245841035,0.14417744916820702
c3js/c3,2016-05-03 22:37:19 UTC,Non-surviving,11,4,0.36363636363636365,0,0,0,0.0,0,30,10,0.33333333333333331,0,2,1,0.5,0,37,13,0.35135135135135137,0,4,1,0.25,0,167,57,0.3413173652694611,3,7,2,0.2857142857142857,0,1980,0.39343434343434341,0.052020202020202022
caolan/async,2014-05-27 07:22:35 UTC,Surviving,24,5,0.20833333333333334,0,3,0,0.0,0,100,16,0.16,2,7,0,0.0,0,111,19,0.17117117117117117,2,30,9,0.3,2,135,24,0.17777777777777778,5,114,30,0.26315789473684209,10,1764,0.19897959183673469,0.090702947845804988
