repo_name,commits,author_emails,start_time,end_time,bug_fix_hit_rate
codebrew/backbone-rails,261,42,2011-05-11 17:39:18 UTC,2015-09-03 17:15:18 UTC,0.13793103448275862
collectiveidea/awesome_nested_set,553,130,2007-10-18 13:46:41 UTC,2019-08-22 19:12:29 UTC,0.20795660036166366
composer/satis,633,114,2012-01-16 17:55:00 UTC,2019-08-01 13:20:53 UTC,0.1895734597156398
defunkt/jquery-pjax,508,74,2011-02-26 10:12:03 UTC,2017-05-23 11:21:39 UTC,0.17519685039370078
devopsgroup-io/vagrant-digitalocean,296,54,2013-02-27 05:27:12 UTC,2018-04-17 22:08:13 UTC,0.13851351351351351
docker/kitematic,2286,113,2014-08-27 20:45:22 UTC,2019-09-05 11:14:45 UTC,0.26902887139107612
dompdf/dompdf,995,117,2005-01-25 22:56:19 UTC,2019-04-11 15:17:54 UTC,0.28140703517587939
doorkeeper-gem/doorkeeper,1928,253,2011-11-15 15:42:04 UTC,2019-09-17 13:32:02 UTC,0.20072614107883818
douban/dpark,1465,38,2011-10-15 06:36:09 UTC,2019-01-23 04:56:38 UTC,0.30921501706484644
drapergem/draper,1143,181,2011-06-30 22:19:48 UTC,2019-08-20 15:29:10 UTC,0.15485564304461943
dropwizard/dropwizard,5086,461,2011-01-18 18:12:03 UTC,2019-09-17 10:29:49 UTC,0.15965395202516713
dropwizard/metrics,2540,239,2010-02-24 06:04:11 UTC,2019-09-17 10:27:58 UTC,0.14291338582677166
ecomfe/echarts,5256,89,2013-05-31 09:45:54 UTC,2019-06-18 15:50:01 UTC,0.23211567732115676
erikhuda/thor,1490,197,2008-05-07 02:21:22 UTC,2019-09-17 15:13:29 UTC,0.13422818791946309
errbit/errbit,2761,301,2010-08-03 00:48:45 UTC,2019-09-09 15:53:29 UTC,0.208982252806954
es-shims/es5-shim,961,85,2010-09-16 05:54:38 UTC,2019-08-22 02:47:05 UTC,0.25078043704474506
euske/pdfminer,513,27,2007-12-30 09:13:51 UTC,2016-09-26 09:06:34 UTC,0.24756335282651071
expressjs/express,5502,260,2009-06-26 18:56:18 UTC,2018-10-11 03:50:45 UTC,0.11232279171210469
eyecatchup/SEOstats,270,21,2011-08-03 15:24:03 UTC,2016-07-15 22:52:15 UTC,0.22962962962962963
facebook/wangle,1686,163,2015-05-26 20:51:42 UTC,2019-09-19 03:54:58 UTC,0.15183867141162516
fail2ban/fail2ban,5087,215,2004-10-07 20:21:14 UTC,2019-09-11 17:41:30 UTC,0.20798112836642421
fex-team/fis,808,16,2013-04-07 04:40:16 UTC,2019-01-11 11:08:25 UTC,0.018564356435643563
filp/whoops,1042,137,2013-03-11 16:59:04 UTC,2019-08-07 09:03:55 UTC,0.20633397312859886
flot/flot,1032,83,2007-11-30 14:26:29 UTC,2019-08-21 14:27:53 UTC,0.32558139534883723
flyerhzm/bullet,1177,132,2009-08-13 15:48:09 UTC,2019-08-21 10:59:53 UTC,0.16227697536108751
freedomofpress/securedrop,9782,226,2011-06-29 20:23:37 UTC,2019-09-18 22:16:15 UTC,0.17102841954610509
fruux/Baikal,689,49,2012-02-27 20:24:14 UTC,2019-08-26 12:59:39 UTC,0.16400580551523947
fuel/fuel,2074,59,2010-10-21 22:54:57 UTC,2018-04-18 15:00:44 UTC,0.19045323047251689
